Time(ms),Raw_R,Raw_G,Raw_B,StdDev,V1_Norm,Peak_Diff,Calculated_BPM
1779203337435,126.11,30.13,135.53,0.00,0.000,0,0.0
1779203337464,126.11,30.14,135.50,0.00,0.000,0,0.0
1779203337492,126.15,30.14,135.52,0.00,0.000,0,0.0
1779203337529,125.84,30.10,135.38,0.00,0.000,0,0.0
1779203337560,125.79,30.10,135.35,0.00,0.000,0,0.0
1779203337596,125.70,30.14,135.21,0.00,0.000,0,0.0
1779203337628,125.76,30.13,135.23,0.00,0.000,0,0.0
1779203337662,125.88,30.17,135.23,0.00,0.000,0,0.0
1779203337696,125.90,30.20,135.16,0.00,0.000,0,0.0
1779203337729,125.92,30.22,135.13,0.00,0.000,0,0.0
1779203337763,124.99,30.07,134.68,0.00,0.000,0,0.0
1779203337798,124.98,30.04,134.87,0.00,0.000,0,0.0
1779203337826,124.58,29.87,134.99,0.00,0.000,0,0.0
1779203337862,124.29,29.85,134.87,0.00,0.000,0,0.0
1779203337894,124.24,29.83,134.89,0.00,0.000,0,0.0
1779203337929,125.18,29.90,135.38,0.00,0.000,0,0.0
1779203337962,125.26,29.94,135.39,0.00,0.000,0,0.0
1779203337998,126.20,29.98,135.82,0.00,0.000,0,0.0
1779203338035,126.29,30.01,135.88,0.00,0.000,0,0.0
1779203338067,126.25,30.06,135.77,0.00,0.000,0,0.0
1779203338097,126.27,30.06,135.78,0.00,0.000,0,0.0
1779203338135,126.34,30.07,135.83,0.00,0.000,0,0.0
1779203338176,126.43,30.07,135.87,0.00,0.000,0,0.0
1779203338204,126.47,30.10,135.85,0.00,0.000,0,0.0
1779203338234,126.55,30.13,135.82,0.00,0.000,0,0.0
1779203338267,126.57,30.15,135.76,0.00,0.000,0,0.0
1779203338298,126.63,30.19,135.75,0.00,0.000,0,0.0
1779203338330,126.72,30.20,135.75,0.00,0.000,0,0.0
1779203338363,126.78,30.20,135.75,0.00,0.000,0,0.0
1779203338406,125.94,30.03,135.41,0.00,0.000,0,0.0
1779203338439,126.01,30.07,135.47,0.00,0.000,0,0.0
1779203338458,125.97,30.11,135.38,0.00,0.000,0,0.0
1779203338496,125.96,30.14,135.31,0.00,0.000,0,0.0
1779203338530,126.08,30.15,135.36,0.00,0.000,0,0.0
1779203338567,126.12,30.16,135.35,0.00,0.000,0,0.0
1779203338604,126.16,30.17,135.33,0.00,0.000,0,0.0
1779203338637,125.39,30.05,134.95,0.00,0.000,0,0.0
1779203338667,125.41,30.10,134.97,0.00,0.000,0,0.0
1779203338701,125.19,30.05,134.99,0.00,0.000,0,0.0
1779203338752,124.82,29.82,135.16,0.00,0.000,0,0.0
1779203338786,124.60,29.82,135.12,0.00,0.000,0,0.0
1779203338798,124.59,29.80,135.15,0.00,0.000,0,0.0
1779203338878,125.50,29.88,135.58,0.00,0.000,0,0.0
1779203338906,125.56,29.90,135.64,0.00,0.000,0,0.0
1779203338933,125.53,29.92,135.59,0.00,0.000,0,0.0
1779203338967,125.59,29.91,135.65,0.00,0.000,0,0.0
1779203339006,126.39,30.02,135.91,0.00,0.000,0,0.0
1779203339025,126.40,30.07,135.89,0.00,0.000,0,0.0
1779203339065,126.40,30.07,135.88,0.00,0.000,0,0.0
1779203339101,126.50,30.08,135.91,0.00,0.000,0,0.0
1779203339134,126.59,30.10,135.93,0.00,0.000,0,0.0
1779203339164,126.57,30.14,135.80,0.00,0.000,0,0.0
1779203339212,126.64,30.17,135.79,0.00,0.000,0,0.0
1779203339230,126.67,30.18,135.78,0.00,0.000,0,0.0
1779203339260,126.76,30.19,135.78,0.00,0.000,0,0.0
1779203339301,126.76,30.22,135.74,0.00,0.000,0,0.0
1779203339336,125.95,30.01,135.48,0.00,0.000,0,0.0
1779203339363,126.00,30.09,135.47,0.00,0.000,0,0.0
1779203339406,125.96,30.13,135.40,0.00,0.000,0,0.0
1779203339427,125.98,30.16,135.33,0.00,0.000,0,0.0
1779203339464,126.01,30.17,135.31,0.00,0.000,0,0.0
1779203339497,126.04,30.20,135.27,0.00,0.000,0,0.0
1779203339540,126.04,30.22,135.21,0.00,0.000,0,0.0
1779203339563,125.23,30.04,134.89,0.00,0.000,0,0.0
1779203339610,125.28,30.10,134.91,0.00,0.000,0,0.0
1779203339636,125.05,30.06,134.89,0.00,0.000,0,0.0
1779203339717,124.22,29.68,134.96,0.00,0.000,0,0.0
1779203339733,124.40,29.76,135.11,0.00,0.000,0,0.0
1779203339763,124.47,29.80,135.12,0.00,0.000,0,0.0
1779203339808,124.93,29.81,135.37,0.00,0.000,0,0.0
1779203339832,126.31,29.92,135.90,0.00,0.000,0,0.0
1779203339862,126.39,30.00,135.93,0.00,0.000,0,0.0
1779203339908,126.41,30.03,135.94,0.00,0.000,0,0.0
1779203339936,126.37,30.07,135.86,0.00,0.000,0,0.0
1779203339965,126.48,30.06,135.93,0.00,0.000,0,0.0
1779203340000,126.52,30.06,135.96,0.00,0.000,0,0.0
1779203340034,126.57,30.09,135.92,0.00,0.000,0,0.0
1779203340061,126.57,30.11,135.88,0.00,0.000,0,0.0
1779203340109,126.58,30.12,135.84,0.00,0.000,0,0.0
1779203340129,126.63,30.17,135.80,0.00,0.000,0,0.0
1779203340169,126.66,30.17,135.79,0.00,0.000,0,0.0
1779203340194,126.71,30.19,135.77,0.00,0.000,0,0.0
1779203340235,126.77,30.21,135.76,0.00,0.000,0,0.0
1779203340264,126.76,30.21,135.73,0.00,0.000,0,0.0
1779203340296,125.92,30.04,135.43,0.00,0.000,0,0.0
1779203340330,125.97,30.11,135.42,0.00,0.000,0,0.0
1779203340364,126.00,30.14,135.39,0.00,0.000,0,0.0
1779203340402,126.05,30.15,135.38,0.00,0.000,0,0.0
1779203340433,126.10,30.17,135.36,0.00,0.000,0,0.0
1779203340468,126.17,30.20,135.33,0.00,0.000,0,0.0
1779203340514,125.07,30.06,134.78,0.00,0.000,0,0.0
1779203340536,125.21,30.14,134.85,0.00,0.000,0,0.0
1779203340569,125.21,30.11,134.93,0.00,0.000,0,0.0
1779203340603,124.83,29.95,135.03,0.00,0.000,0,0.0
1779203340646,124.46,29.85,135.03,0.00,0.000,0,0.0
1779203340659,124.34,29.81,135.04,0.00,0.000,0,0.0
1779203340747,124.38,29.84,135.05,0.00,0.000,0,0.0
1779203340779,125.29,29.88,135.54,0.00,0.000,0,0.0
1779203340794,126.24,29.95,135.91,0.00,0.000,0,0.0
1779203340828,126.28,30.02,135.87,0.00,0.000,0,0.0
1779203340871,126.25,30.07,135.77,0.00,0.000,0,0.0
1779203340901,126.29,30.06,135.84,0.00,0.000,0,0.0
1779203340935,126.28,30.06,135.84,0.00,0.000,0,0.0
1779203340965,126.26,30.08,135.78,0.00,0.000,0,0.0
1779203341060,126.27,30.13,135.70,0.00,0.000,0,0.0
1779203341068,126.34,30.15,135.68,0.00,0.000,0,0.0
1779203341100,126.44,30.19,135.66,0.00,0.000,0,0.0
1779203341146,126.52,30.19,135.65,0.00,0.000,0,0.0
1779203341174,126.52,30.22,135.60,0.00,0.000,0,0.0
1779203341194,126.55,30.24,135.58,0.00,0.000,0,0.0
1779203341234,125.75,30.05,135.29,0.00,0.000,0,0.0
1779203341267,125.81,30.09,135.33,0.00,0.000,0,0.0
1779203341297,125.78,30.15,135.24,0.00,0.000,0,0.0
1779203341329,125.79,30.20,135.17,0.00,0.000,0,0.0
1779203341371,125.91,30.19,135.21,0.00,0.000,0,0.0
1779203341398,126.03,30.20,135.27,0.00,0.000,0,0.0
1779203341429,125.20,30.04,134.88,0.00,0.000,0,0.0
1779203341512,124.92,30.02,134.91,0.00,0.000,0,0.0
1779203341542,124.54,29.81,135.06,0.00,0.000,0,0.0
1779203341606,124.28,29.83,134.92,0.00,0.000,0,0.0
1779203341637,124.29,29.83,134.93,0.00,0.000,0,0.0
1779203341712,125.49,29.91,135.48,0.00,0.000,0,0.0
1779203341737,125.61,29.98,135.55,0.00,0.000,0,0.0
1779203341810,125.69,29.99,135.60,0.00,0.000,0,0.0
1779203341838,125.62,30.02,135.52,0.00,0.000,0,0.0
1779203341869,125.68,30.02,135.56,0.00,0.000,0,0.0
1779203341906,125.74,30.03,135.56,0.00,0.000,0,0.0
1779203341934,125.80,30.04,135.55,0.00,0.000,0,0.0
1779203341962,125.84,30.07,135.50,0.00,0.000,0,0.0
1779203342003,125.92,30.12,135.47,0.00,0.000,0,0.0
1779203342039,126.02,30.12,135.49,0.00,0.000,0,0.0
1779203342066,126.07,30.12,135.49,0.00,0.000,0,0.0
1779203342150,126.05,30.15,135.44,0.00,0.000,0,0.0
1779203342166,126.03,30.17,135.38,0.00,0.000,0,0.0
1779203342250,126.16,30.19,135.38,0.00,0.000,0,0.0
1779203342276,126.21,30.22,135.34,0.00,0.000,0,0.0
1779203342297,126.30,30.25,135.33,0.00,0.000,0,0.0
