Time(ms),Raw_R,Raw_G,Raw_B,StdDev,V1_Norm,Peak_Diff,Calculated_BPM
1779203370395,136.79,33.86,148.51,0.00,0.000,0,0.0
1779203370427,136.96,33.81,148.57,0.00,0.000,0,0.0
1779203370462,137.07,33.82,148.63,0.00,0.000,0,0.0
1779203370492,137.25,33.78,148.66,0.00,0.000,0,0.0
1779203370529,137.41,33.81,148.76,0.00,0.000,0,0.0
1779203370558,137.61,33.74,148.84,0.00,0.000,0,0.0
1779203370593,137.76,33.76,148.91,0.00,0.000,0,0.0
1779203370632,136.87,33.67,148.24,0.00,0.000,0,0.0
1779203370667,137.05,33.66,148.29,0.00,0.000,0,0.0
1779203370694,137.27,33.61,148.41,0.00,0.000,0,0.0
1779203370727,137.28,33.57,148.34,0.00,0.000,0,0.0
1779203370762,136.62,33.31,148.23,0.00,0.000,0,0.0
1779203370795,136.07,33.27,147.84,0.00,0.000,0,0.0
1779203370830,136.03,33.26,147.98,0.00,0.000,0,0.0
1779203370861,135.44,33.43,147.63,0.00,0.000,0,0.0
1779203370891,136.73,33.61,148.46,0.00,0.000,0,0.0
1779203370928,136.73,33.78,148.57,0.00,0.000,0,0.0
1779203370970,136.64,33.86,148.59,0.00,0.000,0,0.0
1779203371002,136.66,33.87,148.64,0.00,0.000,0,0.0
1779203371027,136.59,33.89,148.60,0.00,0.000,0,0.0
1779203371081,136.49,33.93,148.49,0.00,0.000,0,0.0
1779203371090,136.55,33.94,148.54,0.00,0.000,0,0.0
1779203371135,136.63,33.92,148.59,0.00,0.000,0,0.0
1779203371162,136.68,33.94,148.62,0.00,0.000,0,0.0
1779203371199,136.79,33.95,148.67,0.00,0.000,0,0.0
1779203371232,136.93,33.95,148.71,0.00,0.000,0,0.0
1779203371268,137.05,33.98,148.76,0.00,0.000,0,0.0
1779203371300,137.23,33.97,148.79,0.00,0.000,0,0.0
1779203371342,137.34,33.96,148.86,0.00,0.000,0,0.0
1779203371374,137.43,33.91,148.85,0.00,0.000,0,0.0
1779203371405,137.48,33.93,148.87,0.00,0.000,0,0.0
1779203371422,137.64,33.84,148.91,0.00,0.000,0,0.0
1779203371467,137.73,33.88,148.93,0.00,0.000,0,0.0
1779203371498,137.88,33.79,148.99,0.00,0.000,0,0.0
1779203371529,137.98,33.81,149.03,0.00,0.000,0,0.0
1779203371563,137.07,33.61,148.45,0.00,0.000,0,0.0
1779203371607,137.22,33.68,148.46,0.00,0.000,0,0.0
1779203371628,137.02,33.67,148.32,0.00,0.000,0,0.0
1779203371664,136.24,33.41,148.09,0.00,0.000,0,0.0
1779203371695,136.02,33.40,147.97,0.00,0.000,0,0.0
1779203371731,135.67,33.45,147.75,0.00,0.000,0,0.0
1779203371768,135.51,33.55,147.74,0.00,0.000,0,0.0
1779203371802,136.28,33.70,148.31,0.00,0.000,0,0.0
1779203371835,136.24,33.85,148.39,0.00,0.000,0,0.0
1779203371870,136.15,33.93,148.35,0.00,0.000,0,0.0
1779203371892,136.19,34.01,148.34,0.00,0.000,0,0.0
1779203371930,136.20,34.03,148.37,0.00,0.000,0,0.0
1779203371968,136.21,34.03,148.35,0.00,0.000,0,0.0
1779203372008,136.26,34.02,148.38,0.00,0.000,0,0.0
1779203372036,136.34,34.01,148.44,0.00,0.000,0,0.0
1779203372067,136.42,34.02,148.47,0.00,0.000,0,0.0
1779203372099,136.52,34.04,148.50,0.00,0.000,0,0.0
1779203372132,136.66,34.01,148.55,0.00,0.000,0,0.0
1779203372164,136.80,34.02,148.63,0.00,0.000,0,0.0
1779203372198,136.94,33.98,148.63,0.00,0.000,0,0.0
1779203372234,137.02,33.99,148.68,0.00,0.000,0,0.0
1779203372266,137.12,33.98,148.66,0.00,0.000,0,0.0
1779203372299,137.18,33.98,148.69,0.00,0.000,0,0.0
1779203372331,137.03,33.95,148.42,0.00,0.000,0,0.0
1779203372361,137.45,33.85,148.79,0.00,0.000,0,0.0
1779203372401,136.76,33.62,148.41,0.00,0.000,0,0.0
1779203372436,136.78,33.72,148.34,0.00,0.000,0,0.0
1779203372461,136.90,33.72,148.39,0.00,0.000,0,0.0
1779203372496,136.68,33.75,148.19,0.00,0.000,0,0.0
1779203372538,136.00,33.48,147.93,0.00,0.000,0,0.0
1779203372561,135.62,33.46,147.74,0.00,0.000,0,0.0
1779203372597,135.43,33.48,147.65,0.00,0.000,0,0.0
1779203372634,136.15,33.62,148.11,0.00,0.000,0,0.0
1779203372671,136.61,33.86,148.60,0.00,0.000,0,0.0
1779203372700,136.55,33.95,148.60,0.00,0.000,0,0.0
1779203372733,136.56,34.02,148.62,0.00,0.000,0,0.0
1779203372766,136.65,34.02,148.68,0.00,0.000,0,0.0
1779203372802,136.60,34.05,148.64,0.00,0.000,0,0.0
1779203372829,136.58,34.05,148.62,0.00,0.000,0,0.0
1779203372863,136.69,34.03,148.68,0.00,0.000,0,0.0
1779203372891,136.74,34.03,148.71,0.00,0.000,0,0.0
1779203372933,136.81,34.06,148.73,0.00,0.000,0,0.0
1779203372959,136.92,34.09,148.77,0.00,0.000,0,0.0
1779203373001,137.09,34.09,148.83,0.00,0.000,0,0.0
1779203373025,137.23,34.10,148.92,0.00,0.000,0,0.0
1779203373067,137.39,34.01,148.95,0.00,0.000,0,0.0
1779203373103,137.53,34.00,149.04,0.00,0.000,0,0.0
1779203373132,137.64,34.01,149.03,0.00,0.000,0,0.0
1779203373166,137.69,34.03,149.04,0.00,0.000,0,0.0
1779203373196,137.91,33.94,149.11,0.00,0.000,0,0.0
1779203373229,138.00,33.95,149.16,0.00,0.000,0,0.0
1779203373257,137.01,33.73,148.50,0.00,0.000,0,0.0
1779203373297,137.16,33.77,148.52,0.00,0.000,0,0.0
1779203373334,137.34,33.75,148.60,0.00,0.000,0,0.0
1779203373366,137.44,33.73,148.67,0.00,0.000,0,0.0
1779203373404,136.94,33.60,148.45,0.00,0.000,0,0.0
1779203373433,136.25,33.43,148.13,0.00,0.000,0,0.0
1779203373473,136.05,33.45,148.04,0.00,0.000,0,0.0
1779203373494,135.85,33.54,148.01,0.00,0.000,0,0.0
1779203373524,135.59,33.70,147.92,0.00,0.000,0,0.0
1779203373603,135.57,33.68,147.91,0.00,0.000,0,0.0
1779203373631,135.50,33.82,147.96,0.00,0.000,0,0.0
1779203373660,135.59,33.83,148.01,0.00,0.000,0,0.0
1779203373693,136.54,33.96,148.59,0.00,0.000,0,0.0
1779203373728,136.55,34.04,148.58,0.00,0.000,0,0.0
1779203373758,136.62,34.04,148.66,0.00,0.000,0,0.0
1779203373800,136.72,34.02,148.73,0.00,0.000,0,0.0
1779203373837,136.75,34.07,148.66,0.00,0.000,0,0.0
1779203373865,136.91,34.07,148.77,0.00,0.000,0,0.0
1779203373899,137.05,34.09,148.85,0.00,0.000,0,0.0
1779203373931,137.17,34.10,148.89,0.00,0.000,0,0.0
1779203373963,137.37,34.04,148.96,0.00,0.000,0,0.0
1779203373995,137.45,34.05,149.00,0.00,0.000,0,0.0
1779203374030,137.54,34.00,148.96,0.00,0.000,0,0.0
1779203374066,137.60,34.01,148.99,0.00,0.000,0,0.0
1779203374101,137.79,33.95,149.06,0.00,0.000,0,0.0
1779203374127,137.81,33.97,149.03,0.00,0.000,0,0.0
1779203374168,137.17,33.99,148.39,0.00,0.000,0,0.0
1779203374206,137.21,33.98,148.42,0.00,0.000,0,0.0
1779203374228,137.58,33.87,148.71,0.00,0.000,0,0.0
1779203374262,137.69,33.81,148.88,0.00,0.000,0,0.0
1779203374298,136.95,33.60,148.52,0.00,0.000,0,0.0
1779203374328,136.45,33.56,148.36,0.00,0.000,0,0.0
1779203374362,136.30,33.55,148.27,0.00,0.000,0,0.0
1779203374394,136.22,33.54,148.22,0.00,0.000,0,0.0
