Time(ms),Raw_R,Raw_G,Raw_B,Range,V1_Norm,Peak_Diff,Calculated_BPM
1779200961181,121.78,57.28,129.05,0.00,0.000,0,0.0
1779200961197,121.74,57.30,129.03,0.00,0.000,0,0.0
1779200961227,121.74,57.27,129.02,0.00,0.000,0,0.0
1779200961266,121.70,57.28,129.00,0.00,0.000,0,0.0
1779200961296,121.72,57.33,129.01,0.00,0.000,0,0.0
1779200961330,121.73,57.43,129.02,0.00,0.000,0,0.0
1779200961368,121.77,57.52,129.04,0.00,0.000,0,0.0
1779200961394,121.80,57.58,129.04,0.00,0.000,0,0.0
1779200961430,121.81,57.68,129.05,0.00,0.000,0,0.0
1779200961460,121.85,57.76,129.08,0.00,0.000,0,0.0
1779200961499,121.87,57.91,129.09,0.00,0.000,0,0.0
1779200961529,121.87,57.99,129.07,0.00,0.000,0,0.0
1779200961563,121.90,58.08,129.07,0.00,0.000,0,0.0
1779200961595,121.92,58.18,129.09,0.00,0.000,0,0.0
1779200961633,121.97,58.31,129.12,0.00,0.000,0,0.0
1779200961665,122.01,58.42,129.12,0.00,0.000,0,0.0
1779200961693,121.91,58.38,129.07,0.00,0.000,0,0.0
1779200961731,121.84,58.15,129.06,0.00,0.000,0,0.0
1779200961767,121.70,57.87,128.99,0.00,0.000,0,0.0
1779200961797,121.62,57.70,128.95,0.00,0.000,0,0.0
1779200961838,121.63,57.64,128.97,0.00,0.000,0,0.0
1779200961870,121.66,57.63,128.98,0.00,0.000,0,0.0
1779200961913,121.64,57.61,128.97,0.00,0.000,0,0.0
1779200961928,121.64,57.58,128.97,0.00,0.000,0,0.0
1779200961961,121.60,57.50,128.95,0.00,0.000,0,0.0
1779200961999,121.57,57.48,128.95,0.00,0.000,0,0.0
1779200962036,121.53,57.39,128.92,0.00,0.000,0,0.0
1779200962076,121.50,57.32,128.92,0.00,0.000,0,0.0
1779200962096,121.46,57.30,128.91,0.00,0.000,0,0.0
1779200962164,121.49,57.41,128.90,0.00,0.000,0,0.0
1779200962203,121.48,57.48,128.89,0.00,0.000,0,0.0
1779200962236,121.51,57.53,128.91,0.00,0.000,0,0.0
1779200962267,121.57,57.61,128.94,0.00,0.000,0,0.0
1779200962302,121.57,57.68,128.92,0.00,0.000,0,0.0
1779200962331,121.59,57.76,128.94,0.00,0.000,0,0.0
1779200962388,121.57,57.83,128.93,0.00,0.000,0,0.0
1779200962407,121.58,57.93,128.93,0.00,0.000,0,0.0
1779200962435,121.63,58.03,128.94,0.00,0.000,0,0.0
1779200962465,121.63,58.07,128.95,0.00,0.000,0,0.0
1779200962494,121.62,58.16,128.94,0.00,0.000,0,0.0
1779200962530,121.65,58.27,128.94,0.00,0.000,0,0.0
1779200962566,121.68,58.38,128.95,0.00,0.000,0,0.0
1779200962602,121.66,58.41,128.94,0.00,0.000,0,0.0
1779200962640,121.57,58.14,128.93,0.00,0.000,0,0.0
1779200962669,121.39,57.82,128.84,0.00,0.000,0,0.0
1779200962702,121.32,57.53,128.82,0.00,0.000,0,0.0
1779200962731,121.28,57.39,128.80,0.00,0.000,0,0.0
1779200962776,121.26,57.42,128.79,0.00,0.000,0,0.0
