Timestamp(ms),isGoodSignal,filteredIntensity,rrIntervals_count,medianRrMs,rawBpm,filteredBpm
29,false,0.0,0,0.0,0.0,0.0
58,false,0.0,0,0.0,0.0,0.0
91,false,0.0,0,0.0,0.0,0.0
126,false,0.0,0,0.0,0.0,0.0
159,false,0.0,0,0.0,0.0,0.0
192,false,0.0,0,0.0,0.0,0.0
226,false,0.0,0,0.0,0.0,0.0
260,true,-1.4171306731123252,0,0.0,0.0,0.0
292,true,-1.6333029449363323,0,0.0,0.0,0.0
325,true,-1.5751955401607063,0,0.0,0.0,0.0
360,true,-1.3816554820093643,0,0.0,0.0,0.0
391,true,-1.0641867568891712,0,0.0,0.0,0.0
424,true,-0.933620555796324,0,0.0,0.0,0.0
459,true,-0.821899668050122,0,0.0,0.0,0.0
491,true,-0.7162100056980023,0,0.0,0.0,0.0
526,true,-0.6396447056958436,0,0.0,0.0,0.0
558,true,-0.5774557261057396,0,0.0,0.0,0.0
595,true,-0.5036461941265884,0,0.0,0.0,0.0
630,true,-0.4026335949421025,0,0.0,0.0,0.0
663,true,-0.2606727455244595,0,0.0,0.0,0.0
694,true,-0.0573566813083346,0,0.0,0.0,0.0
734,true,0.17535039523485807,0,0.0,0.0,0.0
763,true,0.41540092874873835,0,0.0,0.0,0.0
800,true,0.6336620332791938,0,0.0,0.0,0.0
827,true,0.8289819486162457,0,0.0,0.0,0.0
861,true,0.9369936958477183,0,0.0,0.0,0.0
893,true,1.0288527910542768,0,0.0,0.0,0.0
930,true,1.0455679430169766,0,0.0,0.0,0.0
959,true,0.7910934220763295,0,0.0,0.0,0.0
998,true,0.07792931561047567,0,0.0,0.0,0.0
1026,true,-0.6846145856716248,0,0.0,0.0,0.0
1062,true,-1.2649701818785672,0,0.0,0.0,0.0
1096,true,-1.7831204446204652,0,0.0,0.0,0.0
1131,true,-1.9763071221220514,0,0.0,0.0,0.0
1165,true,-1.6266482286212636,0,0.0,0.0,0.0
1198,true,-1.1382301517699887,0,0.0,0.0,0.0
1227,true,-0.8525800493528948,0,0.0,0.0,0.0
1265,true,-0.5912211673015122,0,0.0,0.0,0.0
1296,true,-0.4124557512063518,0,0.0,0.0,0.0
1329,true,-0.32035701014086726,0,0.0,0.0,0.0
1363,true,-0.2803385166075145,0,0.0,0.0,0.0
1394,true,-0.26324664960057476,0,0.0,0.0,0.0
1432,true,-0.20707657237119292,0,0.0,0.0,0.0
1464,true,-0.0940923386532404,0,0.0,0.0,0.0
1497,true,0.07458792284904803,0,0.0,0.0,0.0
1537,true,0.25599683444809784,0,0.0,0.0,0.0
1562,true,0.4443947021921417,0,0.0,0.0,0.0
1596,true,0.629793063204886,0,0.0,0.0,0.0
1632,true,0.7965288776830164,0,0.0,0.0,0.0
1669,true,0.8341623637562066,0,0.0,0.0,0.0
1694,true,0.6200538190924476,1,733.3333333333333,81.81818181818183,0.0
