Time(ms),Raw_R,Raw_G,Raw_B,Range,V1_Norm,Peak_Diff,Calculated_BPM
1779201059698,138.42,64.74,144.13,0.00,0.000,0,0.0
1779201059738,138.43,64.76,144.12,0.00,0.000,0,0.0
1779201059764,138.47,64.76,144.15,0.00,0.000,0,0.0
1779201059796,138.42,64.74,144.12,0.00,0.000,0,0.0
1779201059834,138.41,64.73,144.12,0.00,0.000,0,0.0
1779201059865,138.44,64.79,144.11,0.00,0.000,0,0.0
1779201059899,138.48,64.90,144.13,0.00,0.000,0,0.0
1779201059944,138.53,65.10,144.10,0.00,0.000,0,0.0
1779201059971,138.57,65.26,144.11,0.00,0.000,0,0.0
1779201059998,138.60,65.51,144.07,0.00,0.000,0,0.0
1779201060028,138.66,65.70,144.09,0.00,0.000,0,0.0
1779201060059,138.72,65.87,144.10,0.00,0.000,0,0.0
1779201060097,138.78,66.01,144.12,0.00,0.000,0,0.0
1779201060136,138.82,66.18,144.10,0.00,0.000,0,0.0
1779201060164,138.85,66.37,144.09,0.00,0.000,0,0.0
1779201060199,138.87,66.55,144.08,0.00,0.000,0,0.0
1779201060231,138.89,66.69,144.07,0.00,0.000,0,0.0
1779201060269,138.97,66.91,144.08,0.00,0.000,0,0.0
1779201060298,139.01,67.18,144.06,0.00,0.000,0,0.0
1779201060333,139.01,67.19,144.08,0.00,0.000,0,0.0
1779201060363,138.86,66.64,144.10,0.00,0.000,0,0.0
1779201060402,138.69,65.75,144.15,0.00,0.000,0,0.0
1779201060433,138.52,65.17,144.13,0.00,0.000,0,0.0
1779201060464,138.45,64.91,144.12,0.00,0.000,0,0.0
1779201060501,138.47,64.85,144.14,0.00,0.000,0,0.0
1779201060535,138.45,64.76,144.15,0.00,0.000,0,0.0
1779201060563,138.43,64.64,144.15,0.00,0.000,0,0.0
1779201060606,138.46,64.59,144.19,0.00,0.000,0,0.0
1779201060631,138.45,64.59,144.17,0.00,0.000,0,0.0
1779201060668,138.41,64.50,144.17,0.00,0.000,0,0.0
1779201060705,138.39,64.42,144.17,0.00,0.000,0,0.0
1779201060736,138.43,64.40,144.20,0.00,0.000,0,0.0
1779201060768,138.40,64.46,144.16,0.00,0.000,0,0.0
1779201060796,138.42,64.52,144.17,0.00,0.000,0,0.0
1779201060833,138.45,64.64,144.16,0.00,0.000,0,0.0
1779201060869,138.52,64.82,144.18,0.00,0.000,0,0.0
1779201060893,138.52,65.02,144.11,0.00,0.000,0,0.0
1779201060933,138.58,65.21,144.12,0.00,0.000,0,0.0
1779201060966,138.62,65.40,144.11,0.00,0.000,0,0.0
1779201061001,138.66,65.51,144.11,0.00,0.000,0,0.0
1779201061031,138.66,65.68,144.09,0.00,0.000,0,0.0
1779201061062,138.64,65.80,144.06,0.00,0.000,0,0.0
1779201061097,138.62,65.89,144.02,0.00,0.000,0,0.0
1779201061129,138.66,66.07,144.02,0.00,0.000,0,0.0
1779201061174,138.71,66.19,144.04,0.00,0.000,0,0.0
1779201061199,138.70,66.30,144.01,0.00,0.000,0,0.0
