Time(ms),Raw_R,Raw_G,Raw_B,StdDev,V1_Norm,Peak_Diff,Calculated_BPM
1779237954889,122.69,32.29,128.87,0.30,0.006,0,0.0
1779237954922,122.72,32.40,128.86,0.30,0.007,0,0.0
1779237954953,122.80,32.05,128.84,0.31,0.008,0,0.0
1779237954983,122.86,32.15,128.84,0.31,0.007,0,0.0
1779237955021,122.91,32.29,128.85,0.32,0.008,0,0.0
1779237955055,122.99,32.39,128.87,0.32,0.008,0,0.0
1779237955095,123.00,32.46,128.86,0.33,0.008,0,0.0
1779237955127,123.05,32.58,128.86,0.34,0.008,0,0.0
1779237955154,123.23,32.69,128.87,0.36,0.008,0,0.0
1779237955185,123.13,32.56,128.87,0.37,0.009,0,0.0
1779237955227,122.83,32.04,128.85,0.36,0.008,0,0.0
1779237955252,122.51,31.53,128.82,0.36,0.007,0,0.0
1779237955290,122.38,31.31,128.80,0.35,0.005,0,0.0
1779237955321,122.36,31.25,128.79,0.35,0.004,0,0.0
1779237955360,122.25,31.24,128.81,0.36,0.003,0,0.0
1779237955391,122.25,31.25,128.81,0.36,0.003,0,0.0
1779237955419,122.21,31.53,128.83,0.36,0.003,0,0.0
1779237955450,122.22,31.55,128.83,0.36,0.003,0,0.0
1779237955489,122.15,31.08,128.81,0.35,0.003,0,0.0
1779237955520,122.20,31.09,128.80,0.35,0.003,0,0.0
1779237955559,122.22,31.09,128.80,0.35,0.004,0,0.0
1779237955591,122.22,31.10,128.80,0.35,0.004,0,0.0
1779237955620,122.37,31.87,128.85,0.34,0.005,0,0.0
1779237955648,122.42,31.95,128.85,0.34,0.005,0,0.0
1779237955687,122.48,32.06,128.88,0.33,0.005,0,0.0
1779237955728,122.57,32.19,128.88,0.33,0.006,0,0.0
1779237955753,122.61,32.32,128.88,0.32,0.006,0,0.0
1779237955789,122.68,32.45,128.88,0.32,0.007,0,0.0
1779237955827,122.72,32.11,128.84,0.32,0.007,0,0.0
1779237955850,122.77,32.23,128.86,0.32,0.007,0,0.0
1779237955889,122.81,32.30,128.86,0.32,0.007,0,0.0
1779237955916,122.82,32.37,128.86,0.32,0.007,0,0.0
1779237955951,122.82,32.44,128.86,0.32,0.007,0,0.0
1779237955985,122.87,32.52,128.87,0.32,0.007,0,0.0
1779237956021,122.96,32.63,128.87,0.32,0.007,0,0.0
1779237956050,123.01,32.71,128.87,0.33,0.007,0,0.0
1779237956081,122.88,32.53,128.87,0.32,0.008,0,0.0
1779237956119,122.61,32.04,128.85,0.31,0.006,0,0.0
1779237956159,122.49,31.60,128.82,0.29,0.005,0,0.0
1779237956186,122.36,31.39,128.81,0.27,0.005,0,0.0
1779237956220,122.19,31.35,128.81,0.27,0.003,0,0.0
1779237956255,122.22,31.39,128.81,0.27,0.003,0,0.0
1779237956286,122.27,31.86,128.86,0.27,0.003,0,0.0
1779237956325,122.28,31.87,128.85,0.28,0.003,0,0.0
1779237956355,122.32,31.93,128.84,0.27,0.004,0,0.0
1779237956385,122.36,31.97,128.84,0.27,0.004,0,0.0
1779237956423,122.39,32.03,128.85,0.27,0.005,0,0.0
1779237956457,122.43,32.08,128.85,0.26,0.004,0,0.0
1779237956496,122.41,32.10,128.85,0.25,0.005,0,0.0
1779237956526,122.44,32.11,128.87,0.25,0.005,0,0.0
1779237956566,122.48,32.20,128.86,0.24,0.005,0,0.0
1779237956590,122.56,32.33,128.87,0.23,0.005,0,0.0
1779237956628,122.55,31.99,128.85,0.23,0.006,0,0.0
1779237956661,122.64,32.13,128.85,0.23,0.006,0,0.0
1779237956689,122.77,32.28,128.85,0.23,0.006,0,0.0
1779237956724,122.85,32.41,128.86,0.24,0.006,0,0.0
1779237956757,122.94,32.56,128.86,0.24,0.007,0,0.0
1779237956786,123.04,32.68,128.87,0.26,0.007,0,0.0
1779237956831,123.05,32.78,128.87,0.27,0.007,0,0.0
1779237956860,123.07,32.88,128.88,0.28,0.007,0,0.0
1779237956888,123.25,33.00,128.89,0.30,0.007,0,0.0
1779237956918,123.27,33.10,128.89,0.32,0.007,0,0.0
1779237956948,123.29,33.24,128.89,0.34,0.006,0,0.0
1779237956996,123.35,33.30,128.89,0.36,0.006,0,0.0
1779237957032,122.26,32.01,128.90,0.36,0.003,0,0.0
1779237957055,122.09,31.70,128.89,0.37,0.003,0,0.0
1779237957092,121.79,31.26,128.84,0.40,0.000,0,0.0
1779237957133,121.67,31.11,128.81,0.44,0.000,0,0.0
1779237957159,121.57,31.09,128.81,0.47,0.000,0,0.0
