Timestamp(ms),isGoodSignal,filteredIntensity,rrIntervals_count,medianRrMs,rawBpm,filteredBpm
12,false,0.0,0,0.0,0.0,0.0
47,false,0.0,0,0.0,0.0,0.0
81,false,0.0,0,0.0,0.0,0.0
114,false,0.0,0,0.0,0.0,0.0
146,false,0.0,0,0.0,0.0,0.0
180,false,0.0,0,0.0,0.0,0.0
216,false,0.0,0,0.0,0.0,0.0
247,false,0.0,0,0.0,0.0,0.0
281,false,0.0,0,0.0,0.0,0.0
314,false,0.0,0,0.0,0.0,0.0
350,false,0.0,0,0.0,0.0,0.0
381,false,0.0,0,0.0,0.0,0.0
415,false,0.0,0,0.0,0.0,0.0
449,false,0.0,0,0.0,0.0,0.0
481,false,0.0,0,0.0,0.0,0.0
517,false,0.0,0,0.0,0.0,0.0
549,false,0.0,0,0.0,0.0,0.0
584,false,0.0,0,0.0,0.0,0.0
621,false,0.0,0,0.0,0.0,0.0
651,false,0.0,0,0.0,0.0,0.0
683,false,0.0,0,0.0,0.0,0.0
719,false,0.0,0,0.0,0.0,0.0
752,false,0.0,0,0.0,0.0,0.0
786,false,0.0,0,0.0,0.0,0.0
819,true,-0.3446839893132676,0,0.0,0.0,0.0
849,true,-0.33325439688368874,0,0.0,0.0,0.0
885,true,-0.3071427507212263,0,0.0,0.0,0.0
926,true,-0.26341752518078465,0,0.0,0.0,0.0
951,true,-0.2050142691329313,0,0.0,0.0,0.0
986,true,-0.15363046185672147,0,0.0,0.0,0.0
1018,true,-0.09792036496713763,0,0.0,0.0,0.0
1050,true,-0.04023793299910494,0,0.0,0.0,0.0
1085,true,0.004670832006581804,0,0.0,0.0,0.0
1117,true,0.04709534727979303,0,0.0,0.0,0.0
1154,true,0.09535308428849021,0,0.0,0.0,0.0
1192,true,0.13865107386723707,0,0.0,0.0,0.0
1219,true,0.1284716732935749,0,0.0,0.0,0.0
1257,true,0.03340887705718387,0,0.0,0.0,0.0
1288,true,-0.13708741012862902,0,0.0,0.0,0.0
1316,true,-0.3367242094159053,0,0.0,0.0,0.0
1352,true,-0.5378030554785767,0,0.0,0.0,0.0
1387,true,-0.6753569089876237,0,0.0,0.0,0.0
1417,true,-0.7062837112652574,0,0.0,0.0,0.0
1450,true,-0.6533388809900202,0,0.0,0.0,0.0
1487,true,-0.5882663053033639,0,0.0,0.0,0.0
1521,true,-0.5358424004408562,0,0.0,0.0,0.0
1552,true,-0.5194312925721078,0,0.0,0.0,0.0
1587,true,-0.5243297712577828,0,0.0,0.0,0.0
1621,true,-0.5362929891860517,0,0.0,0.0,0.0
1654,true,-0.5329540200958718,0,0.0,0.0,0.0
1682,true,-0.5101038580317265,0,0.0,0.0,0.0
1715,true,-0.4529766474284429,0,0.0,0.0,0.0
1752,true,-0.37929062039279415,0,0.0,0.0,0.0
1786,true,-0.3043536690305473,0,0.0,0.0,0.0
1818,true,-0.23181019640651357,0,0.0,0.0,0.0
1854,true,-0.169484850221437,0,0.0,0.0,0.0
1886,true,-0.12232514444400522,0,0.0,0.0,0.0
1917,true,-0.07782795827841937,0,0.0,0.0,0.0
1949,true,-0.0469793935517373,0,0.0,0.0,0.0
1985,true,-0.09107376543113332,1,766.6666666666667,78.26086956521738,0.0
2021,true,-0.20979407009312467,1,766.6666666666667,78.26086956521738,0.0
2053,true,-0.38122079752025684,1,766.6666666666667,78.26086956521738,0.0
2083,true,-0.5714093734834762,1,766.6666666666667,78.26086956521738,0.0
2120,true,-0.7436188467360694,1,766.6666666666667,78.26086956521738,0.0
2154,true,-0.8289038099970298,1,766.6666666666667,78.26086956521738,0.0
2192,true,-0.8180478576267376,1,766.6666666666667,78.26086956521738,0.0
